pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
Hsbc Uk Tech Event Summary Time To Accelerate,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-tech-event-summary-time-to-accelerate.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Deposit Account Summary Sheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/business-deposit-account-summary-sheet.pdf,Generic,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Client Factsheet,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/client-factsheet.pdf,General,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Trading Safely Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-trading-safely-guide.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Banking Price List?Vid=01902Fa066E70007A79Ce0C791Fb0506F004506700Fb8&Sid=1724940732345&Bln=Ws,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-banking-price-list.pdf?vid=01902fa066e70007a79ce0c791fb0506f004506700fb8&sid=1724940732345&bln=ws,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Econ 101 Uk Inflation Explainer Cmbwl,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/econ-101-uk-inflation-explainer-cmbwl.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Bookmarks present when required, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Sustainability,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/sustainability.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Telling Stories With Data Visualisation,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/telling-stories-with-data-visualisation.pdf,Generic,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document language present, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Clean Electric Vol 6,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/clean-electric-vol-6.pdf,Campaigns,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Cmblit206 02 Charities,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/cmblit206-02-charities.pdf,Forms,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Uk Esg Directory?Link=Header,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/hsbc-uk-esg-directory.pdf?link=header,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Uk In Focus July,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/uk-in-focus-july.pdf,Articles,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Uk In Focus November 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/uk-in-focus-november-2025.pdf?download=1,Articles,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Cmblit202 02 Spending Paradox,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/cmblit202-02-spending-paradox.pdf,Forms,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Electronic Wallet For Business Debit Card Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/electronic-wallet-for-business-debit-card-additional-conditions.pdf?download=1,Articles,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Digital Wallet For Commercial Card Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/digital-wallet-for-commercial-card-additional-conditions.pdf?download=1,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Electronic Wallet For Debit Cards Hbuk Hsb Cmblit357 Wa,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/electronic-wallet-for-debit-cards-hbuk-hsb-cmblit357-wa.pdf,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Southern Ireland Credit Protection Tc,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/southern-ireland-credit-protection-tc.pdf,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"Adobe accessibility check, Colour contrast machine check, Reading order machine check"
