PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
Commercial Card Agreement Terms,Open PDF,General,365,Tier 1,Complete,25/03/2026,Pass,Fail,https://check.axes4.com/en/result/7769ec15-5d55-4a4c-9782-ccc7719f20bb,The file meets all machine-verifiable PDF/UA requirements.,3 colour contrast failures (1.4 Distinguishable),Not Started,Not Started,,,,,
Hsbc Commercial Card Factsheet,Open PDF,Products,365,Tier 1,Complete,25/03/2026,Pass,Fail,https://check.axes4.com/en/result/e5e20d45-3861-4653-af71-3cc772230027,The file meets all machine-verifiable PDF/UA requirements.,"3 colour contrast failures (1.4 Distinguishable)
",Not Started,Not Started,,,,,
Going Global For Growth Report Latest,Open PDF,Campaigns,356,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/566882be-5b7b-4571-9878-36860ca9f755,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Doc Lc Application Form,Open PDF,Solutions,355,Tier 1,Complete,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/c0b4cd77-99c6-4cf1-912f-f7645eaac5a1,"6 fonts not embedded
890 content items not properly tagged
109 structure elements using incorrect tag types + 16 warnings
1 structure tree warning
218 alternative descriptions missing
2 metadata failures
4 document settings failures","
218 missing alt text (1.1 Text Alternatives)
896 structure/tagging failures + 16 warnings (1.3 Adaptable)
100 colour contrast failures (1.4 Distinguishable)
5 navigation failures (2.4 Navigable)
109 compatibility failures + 1 warning (4.1 Compatible)",Not Started,Not Started,,,,,
Hbuk Ftd Additional Conditions,Open PDF,General,343,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/3a0ab535-4870-4f86-a10a-3115c019af91,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Statement_Reconciliation_Smart_Form_And_Aged_Debt_Report_Guide,Open PDF,GIB/RF/IIF,324,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/973d70cc-d47c-4cc3-bc3a-8ef45fe7105d,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Hsbc Uk Forward Planning,Open PDF,Campaigns,313,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/62726924-fb22-4edf-bd35-b5d68743d764,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Customer Documentation Guide 12Dec19,Open PDF,Campaigns,309,Tier 1,Complete,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/cdb3b6ac-c482-47d1-a291-585bccb8630c,"2 fonts not embedded
54 structure elements using incorrect tag types
58 structure tree warnings
54 alternative descriptions missing + 1 warning
1 metadata failure","54 missing alt text + 1 warning (1.1 Text Alternatives)
56 structure/tagging failures (1.3 Adaptable)
58 compatibility warnings (4.1 Compatible)",Not Started,Not Started,,,,,
Instant Advice,Open PDF,Solutions,309,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/ea1d0cfa-bb3e-4d35-8c77-ef0160c83aed,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Product Guide Invoice Discounting,Open PDF,Products,303,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/91d1feab-e0a8-44e8-95b7-7c5dedfaf511,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
